Date,Shanghai
2020-08-17,3438.80
2020-08-18,3451.09
2020-08-19,3408.13
2020-08-20,3363.90
2020-08-21,3380.68
2020-08-24,3385.64
2020-08-25,3373.58
2020-08-26,3329.74
2020-08-27,3350.11
2020-08-28,3403.81
2020-08-31,3395.68
2020-09-01,3410.61
2020-09-02,3404.80
2020-09-03,3384.98
2020-09-04,3355.37
2020-09-07,3292.59
2020-09-08,3316.42
2020-09-09,3254.63
2020-09-10,3234.82
2020-09-11,3260.35
2020-09-14,3278.81
2020-09-15,3295.68
2020-09-16,3283.92
2020-09-17,3270.44
2020-09-18,3338.09
2020-09-21,3316.94
2020-09-22,3274.30
2020-09-23,3279.71
2020-09-24,3223.18
2020-09-25,3219.42
2020-09-28,3217.53
2020-09-29,3224.36
2020-09-30,3218.05
2020-10-09,3272.08
2020-10-12,3358.47
2020-10-13,3359.75
2020-10-14,3340.78
2020-10-15,3332.18
2020-10-16,3336.36
2020-10-19,3312.67
2020-10-20,3328.10
2020-10-21,3325.02
2020-10-22,3312.50
2020-10-23,3278.00
2020-10-26,3251.12
2020-10-27,3254.32
2020-10-28,3269.24
2020-10-29,3272.73
2020-10-30,3224.53
2020-11-02,3225.12
2020-11-03,3271.07
2020-11-04,3277.44
2020-11-05,3320.13
2020-11-06,3312.16
2020-11-09,3373.73
2020-11-10,3360.15
2020-11-11,3342.20
2020-11-12,3338.68
2020-11-13,3310.10
2020-11-16,3346.97
2020-11-17,3339.90
2020-11-18,3347.30
2020-11-19,3363.09
2020-11-20,3377.73
2020-11-23,3414.49
2020-11-24,3402.82
2020-11-25,3362.33
2020-11-26,3369.73
2020-11-27,3408.31
2020-11-30,3391.76
2020-12-01,3451.94
2020-12-02,3449.38
2020-12-03,3442.14
2020-12-04,3444.58
2020-12-07,3416.60
2020-12-08,3410.18
2020-12-09,3371.96
2020-12-10,3373.28
2020-12-11,3347.19
2020-12-14,3369.12
2020-12-15,3367.23
2020-12-16,3366.98
2020-12-17,3404.87
2020-12-18,3394.90
2020-12-21,3420.57
2020-12-22,3356.78
2020-12-23,3382.32
2020-12-24,3363.11
2020-12-25,3396.56
2020-12-28,3397.29
2020-12-29,3379.04
2020-12-30,3414.45
2020-12-31,3473.07
2021-01-04,3502.96
2021-01-05,3528.68
2021-01-06,3550.88
2021-01-07,3576.20
2021-01-08,3570.11
2021-01-11,3531.50
2021-01-12,3608.34
2021-01-13,3598.65
2021-01-14,3565.90
2021-01-15,3566.38
2021-01-18,3596.22
2021-01-19,3566.38
2021-01-20,3583.09
2021-01-21,3621.26
2021-01-22,3606.75
2021-01-25,3624.24
2021-01-26,3569.43
2021-01-27,3573.34
2021-01-28,3505.18
2021-01-29,3483.07
2021-02-01,3505.28
2021-02-02,3533.68
2021-02-03,3517.31
2021-02-04,3501.86
2021-02-05,3496.33
2021-02-08,3532.45
2021-02-09,3603.49
2021-02-10,3655.09
2021-02-18,3675.36
2021-02-19,3696.17
2021-02-22,3642.44
2021-02-23,3636.36
2021-02-24,3564.08
2021-02-25,3585.05
2021-02-26,3509.08
2021-03-01,3551.40
2021-03-02,3508.59
2021-03-03,3576.90
2021-03-04,3503.49
2021-03-05,3501.99
2021-03-08,3421.41
2021-03-09,3359.29
2021-03-10,3357.74
2021-03-11,3436.83
2021-03-12,3453.08
2021-03-15,3419.95
2021-03-16,3446.73
2021-03-17,3445.55
2021-03-18,3463.07
2021-03-19,3404.66
2021-03-22,3443.44
2021-03-23,3411.51
2021-03-24,3367.06
2021-03-25,3363.59
2021-03-26,3418.33
2021-03-29,3435.30
2021-03-30,3456.68
2021-03-31,3441.91
2021-04-01,3466.33
2021-04-02,3484.39
2021-04-06,3482.97
2021-04-07,3479.63
2021-04-08,3482.55
2021-04-09,3450.68
2021-04-12,3412.95
2021-04-13,3396.47
2021-04-14,3416.72
2021-04-15,3398.99
2021-04-16,3426.62
2021-04-19,3477.55
2021-04-20,3472.94
2021-04-21,3472.93
2021-04-22,3465.11
2021-04-23,3474.17
2021-04-26,3441.17
2021-04-27,3442.61
2021-04-28,3457.07
2021-04-29,3474.90
2021-04-30,3446.86
2021-05-06,3441.28
2021-05-07,3418.87
