Date,Close,Open,High,Low,Volue_K,Volume
2020-02-25,9317.20,9662.60,9672.30,9269.80,937.97,937970.00
2020-02-26,8800.30,9317.10,9368.10,8672.00,1.32,1320000.00
2020-02-27,8818.60,8800.10,8968.30,8538.50,1.13,1130000.00
2020-02-28,8697.50,8820.10,8898.70,8451.90,1.08,1080000.00
2020-02-29,8543.70,8697.10,8793.70,8539.80,683.44,683440.00
2020-03-01,8540.00,8543.80,8737.20,8437.20,784.05,784050.00
2020-03-02,8904.80,8537.50,8961.80,8503.10,1.02,1020000.00
2020-03-03,8761.40,8906.10,8911.70,8669.30,1.01,1010000.00
2020-03-04,8757.90,8761.30,8840.30,8679.70,759.69,759690.00
2020-03-05,9060.30,8757.90,9147.30,8751.50,950.76,950760.00
2020-03-06,9134.80,9060.60,9165.20,9004.90,1.04,1040000.00
2020-03-07,8887.80,9134.20,9180.80,8848.70,750.65,750650.00
2020-03-08,8034.10,8887.80,8888.00,8015.30,1.11,1110000.00
2020-03-09,7933.00,8035.80,8158.80,7648.70,1.54,1540000.00
2020-03-10,7891.20,7933.00,8145.50,7740.20,1.20,1200000.00
2020-03-11,7935.10,7892.10,7976.50,7606.00,1.10,1100000.00
2020-03-12,4826.00,7935.20,7963.10,4546.60,3.22,3220000.00
2020-03-13,5584.30,4815.20,5934.30,3869.50,4.17,4170000.00
2020-03-14,5182.70,5589.40,5634.90,5072.20,1.69,1690000.00
2020-03-15,5366.30,5182.90,5863.30,5120.60,1.61,1610000.00
2020-03-16,5030.00,5366.40,5369.30,4477.70,2.55,2550000.00
2020-03-17,5261.10,5030.20,5432.80,4946.50,1.89,1890000.00
2020-03-18,5361.40,5260.70,5373.10,5020.90,1.80,1800000.00
2020-03-19,6172.00,5359.20,6379.50,5256.00,2.18,2180000.00
2020-03-20,6205.30,6171.60,6858.10,5748.20,2.22,2220000.00
2020-03-21,6186.20,6205.60,6438.30,5887.00,1.64,1640000.00
2020-03-22,5822.10,6186.90,6394.40,5771.20,1.48,1480000.00
2020-03-23,6468.90,5822.00,6564.70,5710.80,1.88,1880000.00
2020-03-24,6744.60,6468.80,6814.20,6380.80,1.73,1730000.00
2020-03-25,6678.90,6744.80,6930.20,6474.60,1.52,1520000.00
2020-03-26,6725.10,6677.90,6772.90,6541.70,1.18,1180000.00
2020-03-27,6373.40,6725.50,6813.70,6322.30,1.16,1160000.00
2020-03-28,6233.70,6373.40,6374.30,6046.50,1.26,1260000.00
2020-03-29,5890.40,6233.20,6258.80,5889.30,916.17,916170.00
2020-03-30,6391.00,5890.40,6576.50,5872.50,1.43,1430000.00
2020-03-31,6412.50,6391.10,6513.10,6346.30,1.05,1050000.00
2020-04-01,6638.50,6412.40,6661.30,6157.40,1.40,1400000.00
2020-04-02,6800.50,6638.80,7182.70,6567.90,1.74,1740000.00
2020-04-03,6735.90,6799.90,7026.30,6623.60,1.35,1350000.00
2020-04-04,6857.40,6735.90,6958.60,6679.10,1.05,1050000.00
2020-04-05,6772.70,6857.50,6889.40,6686.00,842.33,842330.00
2020-04-06,7332.30,6772.80,7335.00,6770.10,1.53,1530000.00
2020-04-07,7185.20,7332.30,7440.30,7101.70,1.32,1320000.00
2020-04-08,7361.20,7185.60,7396.10,7153.10,983.94,983940.00
2020-04-09,7289.00,7361.10,7361.10,7140.30,963.55,963550.00
2020-04-10,6863.10,7289.00,7294.40,6756.10,1.37,1370000.00
2020-04-11,6867.80,6862.70,6931.40,6765.10,845.58,845580.00
2020-04-12,6917.60,6867.90,7158.80,6785.10,1.10,1100000.00
2020-04-13,6841.30,6918.10,6920.30,6618.50,1.25,1250000.00
2020-04-14,6850.90,6841.80,6970.80,6768.60,999.53,999530.00
2020-04-15,6629.10,6851.30,6929.50,6615.90,1.00,1000000.00
2020-04-16,7085.60,6629.10,7159.70,6520.50,1.54,1540000.00
2020-04-17,7035.80,7085.50,7142.80,7005.80,810.10,810100.00
2020-04-18,7230.80,7035.90,7259.40,7031.50,796.45,796450.00
2020-04-19,7122.90,7230.90,7238.00,7079.10,5.93,5930000.00
2020-04-20,6833.50,7122.90,7207.50,6771.20,1.26,1260000.00
2020-04-21,6842.50,6833.40,6919.30,6774.30,892.57,892570.00
2020-04-22,7112.90,6842.50,7137.40,6821.80,914.18,914180.00
2020-04-23,7488.50,7112.80,7655.40,7036.50,1.34,1340000.00
2020-04-24,7503.80,7491.30,7583.50,7423.50,951.95,951950.00
2020-04-25,7540.40,7503.90,7684.60,7451.00,861.93,861930.00
2020-04-26,7678.90,7540.40,7679.40,7520.50,921.59,921590.00
2020-04-27,7766.00,7679.40,7768.50,7637.70,980.50,980500.00
2020-04-28,7746.90,7766.00,7770.10,7655.30,808.09,808090.00
2020-04-29,8770.90,7746.70,8918.50,7729.70,1.83,1830000.00
2020-04-30,8629.00,8770.60,9437.50,8425.50,2.04,2040000.00
2020-05-01,8821.60,8628.60,9040.30,8621.00,1.11,1110000.00
2020-05-02,8966.30,8821.60,8986.20,8771.30,890.34,890340.00
2020-05-03,8885.50,8966.20,9169.90,8742.20,1.15,1150000.00
2020-05-04,8874.70,8885.50,8945.50,8553.20,1.12,1120000.00
2020-05-05,9001.00,8874.20,9078.70,8800.40,1.05,1050000.00
2020-05-06,9151.40,9000.60,9373.70,8923.60,1.62,1620000.00
